"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048704","embryonic skeletal system morphogenesis","5/36","17/1638",0.294117647058824,13.3823529411765,7.6909584706429,1.97250711732261e-05,0.017535588272998,0.0162576112933011,"TFAP2A/HOXD3/OSR1/HOXC4/SIX1",5
"GO:0021545","cranial nerve development","4/36","12/1638",0.333333333333333,15.1666666666667,7.38146155141563,8.59948416157355e-05,0.0382247070981944,0.0354389268342742,"TFAP2A/HOXD3/EGR2/SIX1",4
"GO:0048705","skeletal system morphogenesis","6/36","40/1638",0.15,6.825,5.58961469613409,0.000163638344162053,0.0484914959866883,0.0449574819224166,"TFAP2A/HOXD3/OSR1/HOXC4/SIX1/HOXD8",6
"GO:0048706","embryonic skeletal system development","5/36","27/1638",0.185185185185185,8.42592592592593,5.83081226823605,0.00021938016178564,0.0487572409568584,0.0452038596521463,"TFAP2A/HOXD3/OSR1/HOXC4/SIX1",5
